Status,State,Name,Hospital Provider Number,Street Address,Suburb,Postcode,Second-tier Eligible (Yes/No),Second-tier Expiry Date,"Second-tier Category",Circular,"The Commonwealth Minister for Health, or delegate, has declared the facility to be a neo-natal facility, consistent with Section 3(2) of the Health Insurance Act 1973. (This column is not complete and is still being populated)"
PUBLIC,QLD,ALPHA HOSPITAL,0050010F,1 BURNS STREET,ALPHA,4724,NO,,,PHI 77/19,
PUBLIC,VIC,ALPINE HEALTH (BRIGHT),0031740W,36-42 COBDEN STREET,BRIGHT,3741,NO,,,,
PUBLIC,VIC,ALPINE HEALTH (MOUNT BEAUTY),0031190J,10 HOLLONDS STREET,MT BEAUTY,3699,NO,,,,
PUBLIC,VIC,ALPINE HEALTH (MYRTLEFORD),0030790T,30 O'DONNELL AVENUE,MYRTLEFORD,3736,NO,,,,
PRIVATE,NSW,ALWYN REHABILITATION HOSPITAL,0015040A,1 EMU STREET,STRATHFIELD,2135,NO,,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)",,
PRIVATE,VIC,ANAM CARA HOUSE GEELONG,0037080K,"NICOL DRIVE SOUTH, DEAKIN UNIVERSITY",WAURN PONDS,3216,YES,30-09-26,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 52/22; 84/23,
PUBLIC,SA,ANGASTON HOSPITAL,0060050B,29 NORTH STREET,ANGASTON,5353,NO,,,,
PUBLIC,VIC,ANGLISS HOSPITAL,0031330L,ALBERT STREET,UPPER FERNTREE GULLY,3156,NO,,,,
PRIVATE,NSW,ARCADIA PITTWATER PRIVATE HOSPITAL,0017560F,4 DAYDREAM STREET,WARRIEWOOD,2102,YES,06-01-26,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)",PHI 26/19; 89/21; 75/24,
PRIVATE,SA,ARCHER ST DAY HOSPITAL,0067290X,163 ARCHER STREET,NORTH ADELAIDE,5006,YES,21-04-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 46/19; 57/19; 35/22; 34/23; 53/23,
PUBLIC,WA,ARMADALE KELMSCOTT MEMORIAL HOSPITAL,0070040K,3056 ALBANY HIGHWAY,ARMADALE,6112,NO,,,,
PRIVATE,NSW,ARMIDALE DAY SURGERY,0027690A,126 O'DELL STREET,ARMIDALE,2350,YES,29-12-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/25; 46/25,
PRIVATE,NSW,ARMIDALE PRIVATE HOSPITAL,0017190T,RUSDEN STREET,ARMIDALE,2350,YES,01-06-27,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 63/20; 22/22; 60/24; 70/24; 75/24,
PUBLIC,NSW,ARMIDALE RURAL REFERRAL HOSPITAL,0010570T,226 RUSDEN STREET,ARMIDALE,2350,NO,,,,
PRIVATE,VIC,ARROW HEALTH,0037010B,8 CARLISLE STREET,WOODEND,3442,YES,17-06-27,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)","PHI 05/19; 12/19, 69/19; 54/20; 44/21; 41/24",
PRIVATE,NSW,ARTARMON DAY SURGERY,0027520X,"SUITE 4, 448 PACIFIC HIGHWAY",ARTARMON,2064,YES,14-05-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 36/20; 31/24; 45/25; 58/25,
PRIVATE,SA,ASHFORD HOSPITAL,0065020L,55 ANZAC HIGHWAY,ASHFORD,5035,YES,16-11-26,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit","PHI 30/20, 14/23; 57/23; 84/23; 05/24",
PUBLIC,QLD,ATHERTON HOSPITAL,0050030A,CNR LOUISE & JACK STREETS,ATHERTON,4883,NO,,,,
PRIVATE,WA,ATTADALE REHABILITATION HOSPITAL,0075360Y,21 HISLOP ROAD,ATTADALE,6156,YES,15-11-27,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)",PHI 82/20; 22/22; 82/24,
PUBLIC,NSW,AUBURN HOSPITAL & COMMUNITY HEALTH SERVICES,0010020A,18-20 HARGRAVE ROAD,AUBURN,2144,NO,,,,
PUBLIC,QLD,AUGATHELLA HOSPITAL,0050040Y,CAVANAGH STREET,AUGATHELLA,4477,NO,,,,
PUBLIC,WA,AUGUSTA HOSPITAL,0071110F,DONOVAN STREET,AUGUSTA,6290,NO,,,,
PUBLIC,VIC,AUSTIN HEALTH - AUSTIN HOSPITAL,0030060F,145 STUDLEY ROAD,HEIDELBERG,3084,NO,,,,
PUBLIC,VIC,AUSTIN HEALTH - HEIDELBERG REPATRIATION HOSPITAL,0031620B,300 WATERDALE ROAD,HEIDELBERG WEST,3081,NO,,,,
PRIVATE,QLD,AVIVE CLINIC BRISBANE,0056290Y,16 BRYDEN STREET,WINDSOR,4030,YES,29-07-28,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)",PHI 83/23; 05/24; 58/25,
PRIVATE,VIC,AVIVE CLINIC MORNINGTON PENINSULA,0037110Y,1 ST JOHNS LANE ,MOUNT ELIZA ,3930,YES,09-05-28,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)",PHI 83/23; 11/24; 58/25,
PUBLIC,QLD,AYR HOSPITAL,0050050X,2 CHIPPENDALE STREET,AYR,4807,NO,,,,
PRIVATE,QLD,B.BRAUN MORAYFIELD RENAL CARE CENTRE,0056220L,19-31 DICKSON ROAD,MORAYFIELD ,4506,NO,19-12-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 30/21; 60/21; 84/22,
PUBLIC,QLD,BABINDA HOSPITAL,0050060W,128 MUNRO STREET,BABINDA,4861,NO,,,,
PUBLIC,QLD,BAILLIE HENDERSON HOSPITAL,0052000L,CNR HOGG & TOR STREETS,TOOWOOMBA,4350,NO,,,PHI 06/25,
PUBLIC,VIC,BAIRNSDALE REGIONAL HEALTH SERVICE,0030080A,122 DAY STREET,BAIRNSDALE,3875,NO,,,,
PUBLIC,SA,BALAKLAVA SOLDIERS' MEMORIAL DISTRICT HOSPITAL,0060060A,16 WAR MEMORIAL DRIVE,BALAKLAVA,5461,NO,,,PHI 74/25,
PRIVATE,VIC,BALLARAT DAY PROCEDURE CENTRE,0043620T,1119-1123 HOWITT STREET,WENDOUREE,3355,YES,06-12-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 03/20; 22/20; 77/22; 71/23,
PUBLIC,VIC,BALLARAT HEALTH SERVICES (BASE HOSPITAL),0030090Y,1 DUMMOND STREET NORTH,BALLARAT CENTRAL,3350,NO,,,,
PUBLIC,VIC,BALLARAT HEALTH SERVICES - QUEEN ELIZABETH CENTRE,0034220W,102 ASCOT STREET,BALLARAT,3350,NO,,,,
PRIVATE,VIC,BALLARAT SURGICENTRE,0044080X,5-9 WOOD STREET,SOLDIERS HILL,3350,YES,17-09-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 55/19; 35/22; 34/23,
PRIVATE,NSW,BALLINA DAY SURGERY,0027050K,"SUITE 6, 46 TAMAR STREET",BALLINA,2478,YES,07-08-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/20; 48/23; 56/24,
PUBLIC,NSW,BALLINA DISTRICT HOSPITAL,0010580L,78-92 CHERRY STREET,BALLINA,2478,NO,,,,
PUBLIC,NSW,BALMAIN HOSPITAL,0010030Y,29 BOOTH STREET,BALMAIN,2041,NO,,,,
PUBLIC,NSW,BALRANALD MULTI PURPOSE SERVICE,0010590K,41-43 COURT STREET,BALRANALD,2715,NO,,,,
PUBLIC,QLD,BAMAGA HOSPITAL,0051460T,238 SAGAUKAZ STREET,BAMAGA,4876,NO,,,,
PUBLIC,NSW,BANKSTOWN-LIDCOMBE HOSPITAL,0010040X,68 ELDRIDGE ROAD,BANKSTOWN,2200,NO,,,,
PUBLIC,NSW,BARADINE MULTI PURPOSE SERVICE,0011030L,5-9 MACQUARIE STREET,BARADINE,2396,NO,,,,
PUBLIC,QLD,BARALABA HOSPITAL,0050070T,STOPFORD STREET,BARALABA,4702,NO,,,,
PUBLIC,QLD,BARCALDINE HOSPITAL,0050080L,OAK STREET,BARCALDINE,4725,NO,,,,
PUBLIC,NSW,BARHAM KOONDROOK SOLDIERS MEMORIAL HOSPITAL,0010610A,70 PUNT ROAD,BARHAM,2732,NO,,,,
PRIVATE,NSW,BARINGA PRIVATE HOSPITAL,0016920F,31 MACKAYS ROAD,COFFS HARBOUR,2450,YES,21-03-27,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 19/20; 63/22; PHI 18/24,
PUBLIC,SA,BARMERA HEALTH SERVICE,0060670X,HAWDON STREET,BARMERA,5345,NO,,,PHI 70/25,
PUBLIC,NSW,BARRABA MULTI PURPOSE SERVICE,0010620Y,EDWARD STREET,BARRABA,2347,NO,,,,
PRIVATE,ACT,BARTON PRIVATE HOSPITAL,0097000X,"2/9 SYDNEY AVENUE & 18 NATIONAL CIRCUIT, (BARTON WARD AT HOTEL REALM)",BARTON,2600,YES,17-12-25,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 26/19; 83/21; 77/22,
PUBLIC,VIC,BARWON HEALTH - ASHLEY MANOR CAMPUS,0032040T,1 SUMMIT AVENUE,BELMONT,3216,NO,,,,
PUBLIC,VIC,BARWON HEALTH - GEELONG HOSPITAL CAMPUS,0030470J,BELLERINE STREET,GEELONG,3220,NO,,,,
PUBLIC,VIC,BARWON HEALTH - MCKELLAR CENTRE CAMPUS,0034090K,45-95 BALLARAT ROAD,NORTH GEELONG,3215,NO,,,,
PUBLIC,VIC,BARWON HEALTH - NEWCOMB RENAL UNIT CAMPUS,0032060K,104 BELLARINE HIGHWAY,NEWCOMB,3219,NO,,,,
PUBLIC,VIC,BARWON HEALTH - SOUTH GEELONG RENAL UNIT CAMPUS,0032070J,40 LT FYANS STREET,SOUTH GEELONG,3220,NO,,,,
PUBLIC,VIC,BARWON HEALTH NORTH,0032170F,155 PRINCESS HIGHWAY,NORLANE,3214,NO,,,PHI 05/20,
PUBLIC,VIC,BASS COAST REGIONAL HEALTH,0031400T,235 GRAHAM STREET,WONTHAGGI,3995,NO,,,,
PUBLIC,NSW,BATEMANS BAY HOSPITAL,0010640W,7 PACIFIC STREET,BATEMANS BAY,2536,NO,,,,
PUBLIC,NSW,BATHURST BASE HOSPITAL,0010650T,361-365 HOWICK STREET,BATHURST,2795,NO,,,,
PRIVATE,NSW,BATHURST PRIVATE HOSPITAL,0017100K,GORMAN'S HILL ROAD,BATHURST,2795,NO,06-04-24,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 26/19; 19/20; 32/23; 56/24,
PUBLIC,NSW,BATLOW/ADELONG MULTI PURPOSE SERVICE,0010660L,61-81 PIONEER STREET,BATLOW,2730,NO,,,,
PRIVATE,VIC,BAYSIDE DAY PROCEDURE AND SPECIALIST CENTRE,0043570J,141 CRANBOURNE ROAD,FRANKSTON,3199,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PUBLIC,TAS,BEACONSFIELD DISTRICT HEALTH SERVICE,0080080J,13 BOLTON STREET,BEACONSFIELD,7270,NO,,,,
PUBLIC,QLD,BEAUDESERT HOSPITAL,0050090K,64 TINA STREET,BEAUDESERT,4285,NO,,,,
PUBLIC,VIC,BEAUFORT & SKIPTON HEALTH SERVICES - BEAUFORT CAMPUS,0030990H,28 HAVELOCK STREET,BEAUFORT,3373,NO,,,,
PUBLIC,VIC,BEAUFORT & SKIPTON HEALTH SERVICES - SKIPTON CAMPUS,0030990H,BLAKE STREET,SKIPTON,3361,NO,,,,
PRIVATE,SA,BEDFORD DAY SURGERY,0067120T,913 SOUTH ROAD,CLARENCE GARDENS,5039,YES,21-06-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 52/19; 20/21; 22/22; 94/24; 23/25; 37/25,
PUBLIC,VIC,BEECHWORTH HEALTH SERVICE,0031690K,52 SYDNEY ROAD,BEECHWORTH,3747,NO,,,,
PRIVATE,VIC,BELEURA PRIVATE HOSPITAL,0036200F,925 NEPEAN HIGHWAY,MORNINGTON,3931,YES,13-06-26,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 38/20; 16/22; 53/23,
PRIVATE,NSW,BELLA VISTA DAY HOSPITAL,0027330B,"SUITE 102, 9 NORBRIK DRIVE",BELLA VISTA,2153,YES,28-04-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 11/21; 18/23; PHI 18/24,
PUBLIC,NSW,BELLINGER RIVER DISTRICT HOSPITAL,0010680J,43 CHURCH STREET,BELLINGEN,2454,NO,,,,
PUBLIC,NSW,BELMONT HOSPITAL,0012550B,16 CROUDACE BAY ROAD,BELMONT,2280,NO,,,,
PRIVATE,QLD,BELMONT PRIVATE HOSPITAL,0055630B,1220 CREEK ROAD,CARINA,4152,YES,12-07-28,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)",PHI 30/20; 41/22; 50/25,
PUBLIC,VIC,BENALLA HEALTH,0030110K,45-53 COSTER STREET,BENALLA,3672,NO,,,,
PRIVATE,VIC,BENDIGO DAY SURGERY,0043950X,1 CHUM STREET,BENDIGO,3554,YES,05-10-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 03/20; 73/21; 50/22; 74/25,
PUBLIC,VIC,BENDIGO HEALTH - BENDIGO HOSPITAL,0030120J,100 BARNARD STREET,BENDIGO,3550,NO,,,PHI 40/20,
PRIVATE,VIC,BENTLEIGH SURGICENTRE,0043850A,157 JASPER ROAD,BENTLEIGH,3204,YES,19-10-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 38/20; 73/21; 60/24; 72/25,
PUBLIC,WA,BENTLEY HEALTH SERVICE,0071150X,18-56 MILLS STREET,BENTLEY,6102,NO,,,,
PRIVATE,NSW,BERKELEY VALE PRIVATE HOSPITAL,0017020K,11 LORRAINE AVENUE,BERKELEY VALE,2261,YES,22-12-26,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 28/20; 63/22; 68/22; 84/23,
PUBLIC,NSW,BERRIGAN WAR MEMORIAL HOSPITAL/MULTI PURPOSE SERVICE,0010700Y,47-49 DAVIS STREET,BERRIGAN,2712,NO,,,PHI 69/19,
PRIVATE,WA,BETHESDA HOSPITAL,0075020X,25 QUEENSLEA DRIVE,CLAREMONT,6010,YES,23-07-26,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 17/20; 77/22; 84/23,
PUBLIC,WA,BEVERLEY HOSPITAL,0070060H,SEWELL STREET,BEVERLEY,6304,NO,,,,
PUBLIC,QLD,BIGGENDEN MULTIPURPOSE HEALTH SERVICE,0050100B,57 ALICE STREET,BIGGENDEN,4621,NO,,,PHI 63/19,
PUBLIC,QLD,BILOELA HOSPITAL,0050110A,2 HOSPITAL ROAD,BILOELA,4715,NO,,,,
PUBLIC,NSW,BINGARA MULTIPURPOSE SERVICE,0010710X,KEERA STREET,BINGARA,2404,NO,,,,
PUBLIC,QLD,BLACKALL HOSPITAL,0050130X,SHAMROCK STREET,BLACKALL,4472,NO,,,,
PUBLIC,NSW,BLACKTOWN HOSPITAL,0012490Y,BLACKTOWN ROAD,BLACKTOWN,2148,NO,,,,
PUBLIC,QLD,BLACKWATER HOSPITAL,0051570J,41 MACKENZIE STREET,BLACKWATER,4717,NO,,,,
PUBLIC,NSW,BLAYNEY MULTIPURPOSE SERVICE,0010720W,3 OSMAN STREET,BLAYNEY,2799,NO,,,,
PUBLIC,NSW,BLUE MOUNTAINS DISTRICT ANZAC MEMORIAL HOSPITAL,0010730T,CNR WOODLANDS AND GREAT WESTERN HIGHWAY,KATOOMBA,2780,NO,,,PHI 53/19,
PUBLIC,WA,BODDINGTON HOSPITAL,0070070F,46-53 HOTHAM AVENUE,BODDINGTON,6390,NO,,,,
PUBLIC,NSW,BOGGABRI MULTI PURPOSE SERVICE,0010740L,3 WEE WAA STREET,BOGGABRI,2382,NO,,,,
PUBLIC,NSW,BOMBALA MULTI PURPOSE SERVICE,0010750K,126-128 WELLINGTON STREET,BOMBALA,2632,NO,,,,
PUBLIC,NSW,BONALBO HOSPITAL,0010760J,CLARENCE WAY,BONALBO,2469,NO,,,,
PRIVATE,NSW,BOND DAY HOSPITAL ,0027680B,"SUITE 2.01, 8 ELIZABETH MACARTHUR DRIVE",BELLA VISTA,2153,YES,12-10-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 09/24; 23/24,
PRIVATE,NSW,BONDI JUNCTION ENDOSCOPY CENTRE,0836101F,56 GROSVENOR STREET,WOOLLAHRA,2025,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,NSW,BONDI JUNCTION PRIVATE HOSPITAL,0017220B,"LEVEL 1 & 2,  21 SPRING STREET",BONDI JUNCTION,2022,YES,20-08-28,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 17/19; 03/20; 55/21; 72/21; 48/23; 58/25,
PUBLIC,SA,BOOLEROO CENTRE DISTRICT HOSPITAL & HEALTH SERVICES,0060100J,5-9 STEPHENS STREET,BOOLEROO CENTRE,5482,NO,,,PHI 69/24; 82/24,
PUBLIC,QLD,BOONAH HOSPITAL,0050150T,11-17 LEONARD STREET,BOONAH,4310,NO,,,,
PUBLIC,NSW,BOOROWA MULTI PURPOSE SERVICE HOSPITAL,0010770H,62-80 DRY STREET,BOOROWA,2586,NO,,,,
PUBLIC,VIC,BOORT DISTRICT HEALTH,0030140F,31 KINIRY STREET,BOORT,3537,NO,,,,
PUBLIC,SA,BORDERTOWN MEMORIAL HOSPITAL,0060110H,23 SOUTH TERRACE,BORDERTOWN,5268,NO,,,,
PRIVATE,VIC,BOROONDARA DAY SURGERY ,0032220K,110 CHURCH STREET,HAWTHORN,3122,YES,13-05-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 50/23; 69/23; 24/25,
PUBLIC,NSW,BOURKE MULTI PURPOSE SERVICE,0010780F,26 TARCOON STREET,BOURKE,2840,NO,,,,
PUBLIC,NSW,BOURKE STREET HEALTH SERVICE GOULBURN,0012020H,234 BOURKE STREET,GOULBURN,2580,NO,,,,
PUBLIC,QLD,BOWEN HOSPITAL,0050170K,GREGORY STREET,BOWEN,4805,NO,,,,
PUBLIC,NSW,BOWRAL HOSPITAL,0010690H,150 MONA ROAD,BOWRAL,2576,NO,,,,
PUBLIC,VIC,BOX HILL HOSPITAL,0030150B,51 NELSON ROAD,BOX HILL,3128,NO,,,,
PUBLIC,WA,BOYUP BROOK SOLDIERS MEMORIAL HOSPITAL,0070080B,HOSPITAL ROAD,BOYUP BROOK,6244,NO,,,,
PUBLIC,NSW,BRAESIDE HOSPITAL,0012830W,340 PRAIRIE VALE ROAD,PRAIRIEWOOD,2176,NO,,,,
PUBLIC,NSW,BRAIDWOOD MULTI PURPOSE SERVICE,0010790B,77 MONKITTEE STREET,BRAIDWOOD,2622,NO,,,,
PUBLIC,NSW,BREWARRINA MULTI PURPOSE SERVICE,0010820L,56 DOYLE STREET,BREWARRINA,2839,NO,,,,
PUBLIC,WA,BRIDGETOWN HOSPITAL,0070090A,16-18 PENINSULA ROAD,BRIDGETOWN,6255,NO,,,,
PRIVATE,SA,BRIGHTON DAY SURGERY,0931151B,1 JETTY ROAD,BRIGHTON,5048,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,SA,BRIGHTON DIALYSIS CLINIC,0930971X,361-365 BRIGHTON RD,HOVE,5048,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,ACT,BRINDABELLA ENDOSCOPY CENTRE,0999781K,SUITE 7/5 DANN CLOSE,GARRAN,2605,YES,17-05-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 32/19; 72/21; 34/23,
PRIVATE,QLD,BRISBANE DAY SURGERY,0923141F,55 LITTLE EDWARD STREET,SPRING HILL,4004,YES,13-05-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 29/20; 72/21; 44/22; 34/23,
PRIVATE,QLD,BRISBANE ENDOSCOPY SERVICE,0656651H,"SUITES 16 & 17 MCCULLOUGH CENTRE, 259 MCCULLOUGH STREET",SUNNYBANK,4109,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,QLD,BRISBANE PRIVATE HOSPITAL,0055080W,259 WICKHAM TERRACE,BRISBANE,4000,YES,30-08-27,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 32/20; 89/21; 56/24,
PRIVATE,QLD,BRISBANE PROCEDURE CENTRE ,0057550J,42 DOGGETT STREET,NEWSTEAD,4006,YES,22-05-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 32/21; 39/21; 80/22; 33/25,
PRIVATE,QLD,BRISBANE SOUTH PRIVATE HOSPITAL,0057630J,4 PAXTON STREET,SPRINGWOOD,4127,YES,23-09-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 12/24; 18/24; 65/25,
PRIVATE,NSW,BRISBANE WATERS PRIVATE HOSPITAL,0016930B,21 VIDLER AVENUE,WOY WOY,2256,YES,07-10-26,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 36/20; 50/22; 63/23,
PUBLIC,VIC,BROADMEADOWS HEALTH SERVICE,0031920L,35 JOHNSTONE STREET,BROADMEADOWS,3047,NO,,,,
PRIVATE,QLD,BROADWATER PRIVATE DAY HOSPITAL,0057580B,7-11 SHORT STREET,SOUTHPORT,4215,YES,20-12-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 57/23; 63/23; 69/23; 30/25,
